Symbol,Name
DGIT,Ishares IV Plc
DGN,Asia Dragon Trust Plc
DGRA,Wisdomtree Issuer Plc
DGRG,Wisdomtree Issuer Plc
DGRP,Wisdomtree Issuer Plc
DGRW,Wisdomtree Issuer Plc
DGSD,Wisdomtree Issuer Plc
DGSE,Wisdomtree Issuer Plc
DGTL,Ishares IV Plc
DH2O,Ishares II Plc
DHS,Wisdomtree Issuer Plc
DHSA,Wisdomtree Issuer Plc
DHSD,Wisdomtree Issuer Plc
DHSG,Wisdomtree Issuer Plc
DHSP,Wisdomtree Issuer Plc
DHYA,Ishares II Plc
DIA,Dialight Plc
DIG,Dunedin Income Growth Investment Trust P
DIGI,Digital Marketing Group Plc
DIS,Distil Plc
DIVI,Diverse Income Trust [The] Plc
DJEL,Lyxor International Asse
DJEU,Lyxor International Asse
DJMC,Ishares Plc
DJSC,Ishares Plc
DKE,Dukemount Capital Plc
DKL,Dekel Agri-Vision Plc
DKUS,FTSE Nasdaq Dubai Kuwait 15 Shariah Inde
DKUW,FTSE Nasdaq Dubai Kuwait 15 Index
DL2P,Go Ucits ETF Solutions P
DLAR,DE LA Rue Plc
DLG,Direct Line Insurance Gr
DLN,Derwent London Plc
DLTM,Ishares II Plc
DMTR,Deepmatter Group Plc
DNA,Doric Nimrod Air One Limited
DNA2,Doric Nimrod Air Two Lim
DNA3,Doric Nimrod Air Three L
DNE,Dunedin Enterprise Investment Trust Plc
DNL,Diurnal Group Plc
DNLM,Dunelm Group Plc
DNM,
DOCG,Legal & General Ucits ETF Public Limited
DOCS,
DOCT,Legal & General Ucits ETF Public Limited
DOM,Domino's Pizza Group Plc
DORE,
DOTD,Dotdigital Group Plc
DPA,Dp Aircraft I Limited
DPEU,Dp Eurasia N.V.
DPH,Dechra Pharmaceuticals Plc
DPLM,Diploma Plc
DPP,Dp Poland Plc
DPYA,Ishares II Plc
DPYE,Ishares II Plc
DPYG,Ishares II Plc
DQAS,FTSE Nasdaq Dubai Qatar 10 Shariah Index
DQAT,FTSE Nasdaq Dubai Qatar 10 Index
DRDR,Ishares IV Plc
DRUM,
DRV,Driver Group Plc
DRX,Drax Group Plc
DS2P,Go Ucits ETF Solutions P
DSCF,Retail Charity Bonds Plc
DSCV,Discoverie Group Plc
DSG,Dillistone Group Plc
DSM,Downing Strategic Micro-Cap Investment T
DSUS,Multi Units France
DSW,
DTEC,DIAMONDTECH INC ORD GBP0.00125
DTLA,Ishares IV Plc
DTLE,Ishares IV Plc
DTY,Dignity Plc
DUAE,FTSE Nasdaq Dubai UAE 20 Index USD
DUAED,FTSE Nasdaq Dubai UAE 20 Index Aed
DUKE,Duke Royalty Limited
DVNO,
DVO,Devro Plc
DVRG,
DWF,Dwf Group Limited
DWHA,Dewhurst Plc
DWHT,Dewhurst Plc
DXJ,Wisdomtree Issuer Plc
DXJA,Wisdomtree Issuer Plc
DXJG,Wisdomtree Issuer Plc
DXJP,Wisdomtree Issuer Plc
DXJZ,Wisdomtree Issuer Plc
DXRX,Diaceutics Plc
DXUQVYC,FTSE Developed Ex US Qual / Vol / Yield
E0EU,FTSE Epra/Nareit Euro Zo
E0RA,FTSE Epra/Nareit Europe
E0UK,FTSE Epra/Nareit Europe
E1X,FTSE Eurotop 100
E3X,FTSE Eurofirst 300
EAAS,EAAS
EAH,Eco Animal Health Group Plc
EAT,European Assets Trust NV
EAX2,Axa Sa
EB1X,FTSE Euro 100
EBG5,Basf Se
EBOX,Tritax Eurobox Plc
EBQ,Ebiquity Plc
ECAR,Ishares IV Plc
ECEL,Eurocell Plc
ECHO,Echo Energy Plc
ECK,Eckoh Plc
ECO,Eco [Atlantic] Oil & Gas Ltd
ECOG,Go Ucits ETF Solutions Plc
ECOM,Go Ucits ETF Solutions Plc
ECOW,Pacer Emerging Markets Cash Cows 100 Ind
ECOWN,Pacer Emerging Markets Cash Cows 100 Net
ECR,Ecr Minerals Plc
ECSC,Ecsc Group Plc
EDEN,Eden Research Plc
EDF1,Electricite DE France Sa
EDG2,Ishares IV Plc
EDHAPAC,FTSE Edhec Risk Asia/Pacific
EDHAPXJ,FTSE Edhec Risk Asia/Pacific Ex JP
EDHAW,FTSE Edhec Risk All World
EDHAWXUK,FTSE Edhec Risk All Ex UK
EDHAWXUS,FTSE Edhec Risk All Ex US
EDHDAXJ,FTSE Edhec-Risk Efficient Developed Asia
EDHDEUR,FTSE Edhec Risk Dvlp EUR
EDHDEUXU,FTSE Edhec Risk Dvlp EUR Ex UK
EDHDEV,FTSE Edhec Risk Dvlp
EDHDXJ,FTSE Edhec Risk Eff Dev Japan
EDHDXUS,FTSE Edhec-Risk Efficien
EDHEBLOC,FTSE Edhec-Risk Efficient Eurobloc Index
EDHEMER,FTSE Edhec Risk Emerging
EDHJPN,FTSE Edhec Efficient Japan
EDHUK,FTSE Edhec Risk UK
EDHUSA,FTSE Edhec Risk US
EDIN,Edinburgh Investment Trust Plc
EDL,Edenville Energy Plc
EDR,Egdon Resources Plc
EDV,Elderstreet Vct Plc
EDVD,SSGA SPDR ETFS Europe I Plc
EED1,Electricite DE France Sa
EEDM,Ishares IV Plc
EEDS,Ishares IV Plc
EEE,Engel East Europe
EEI,Wisdomtree Issuer Plc
EEIA,Wisdomtree Issuer Plc
EEIE,Wisdomtree Issuer Plc
EEIP,Wisdomtree Issuer Plc
EEJD,Ishares IV Plc
EESG,Multi Units Luxembourg
EEUD,Ishares IV Plc
EEUI,FTSE Epra/Nareit Developed EMEA Index
EEWD,Ishares IV Plc
EEWG,Ishares IV Plc
EEXF,Ishares III Plc
EF80,FTSE Eurofirst 80
EFC1,FTSE Eurofirst 100
EFEP,Invesco Markets Plc
EFGD,Efg-Hermes Holding S.A.E
EFID,Edita Food Industries S.
EFIE,Source Markets Public Li
EFIM,Invesco Markets Plc
EFIS,Source Markets Public Li
EFIW,Source Markets Public Li
EFRN,Ishares II Plc
EGAS,Epra Asia Index [Eur]
EGDM,Ishares IV Plc
EGL,Ecofin Global Utilities and Infrastructu
EGLN,Ishares Physical Metals Plc
EGMW,Ishares IV Plc
EGNA,Epra North America Index
EGOV,UBS ETF
EGRA,Wisdomtree Issuer Plc
EGRG,Wisdomtree Issuer Plc
EGRP,Wisdomtree Issuer Plc
EGRW,Wisdomtree Issuer Plc
EGXU,Epra/Nareit Global [Ex Us] Index
EGY,Vaalco Energy Inc.
EHEF,Fundlogic Alternatives Plc
EHS1,HSBC Bank Funding Ster
EIMI,Ishares Plc
EIMU,Ishares Plc
EISB,
EJFI,Ejf Investments Ltd
EKF,Ekf Diagnostics Holdings Plc
ELAU,Epra Australia Index
ELCO,Eleco Plc
ELEG,
ELEP,elephant loans & mortgages ord gbp0.0003
ELHK,Epra Hong Kong Index
ELIX,
ELJP,Epra Japan Index
ELLA,Ecclesiastical Insurance Office Plc
ELLE,Lyxor Index Fund
ELM,Elementis Plc
ELSA,Societatea Comerciala DE
ELUK,Epra UK Index
ELUKNUK,FTSE Epra/Nareit UK Net
EMAD,SSGA SPDR ETFS Europe I Plc
EMAN,Everyman Media Group Plc
EMAS,SSGA SPDR ETFS Europe I Plc
EMBE,Ishares Vi Plc [The Comp
EMCA,Ishares V Public Limited Company
EMCP,Ishares V Public Limited Company
EMCR,Ishares V Public Limited Company
EMDD,SSGA SPDR ETFS Europe I Plc
EMDL,SSGA SPDR ETFS Europe I Plc
EMDV,SSGA SPDR ETFS Europe I Plc
EME,Empyrean Energy Plc
EMES,Ishares II Plc
EMG,Man Group Plc
EMGA,Ishares III Plc
EMGB,Vaneck Vectors Ucits ETFS Plc
EMGU,Ishares Plc
EMH,European Metals Holdings Limited
EMH5,SSGA SPDR ETFS Europe II
EMHD,Powershares Glbal Funds Ireland Plc
EMHG,Ishares II Plc
EMID,Ishares Vi Plc
EMIG,UBS ETF
EMIL,SSGA SPDR ETFS Europe I
EMIM,Ishares Plc
EMIS,Emis Group Plc
EML,Emmerson Plc
EMLB,Pimco Fixed Income Source ETFS Plc
EMLC,Vaneck Vectors Ucits ETFS Plc
EMLI,Pimco Fixed Income Sourc
EMLP,Pimco Fixed Income Sourc
EMMV,Ishares Vi Plc [The Comp
EMQP,Hanetf Icav
EMQQ,Hanetf Icav
EMQVYC,FTSE Emerging Qual / Vol / Yield Factor
EMR,Empresaria Group Plc
EMRD,SSGA SPDR ETFS Europe I Plc
EMSA,Ishares II Plc
EMSD,SSGA SPDR ETFS Europe I Plc
EMSM,SSGA SPDR ETFS Europe I Plc
EMUD,Ishares IV Plc
EMUM,Ishares IV Plc
EMUU,Ishares Vii Plc
EMV,Ishares Vi Plc [The Comp
EMVL,Ishares IV Plc
EMXC,Multi Units Luxembourg
ENA3,FTSE Epra/Nareit Asia 33
ENAD,Epra/Nareit Asia Index [Us Version]
ENDEM,FTSE Epra/Nareit Developed Ex Mea Index
ENDP,FTSE Epra Europe Ex UK Dividend +
ENEA,FTSE Epra/Nareit Emer Asia Pac Index
ENEE,FTSE Epra/Nareit Europe Non-Reit
ENEF,ETFS Commodity Securities Limited
ENEI,FTSE Epra/Nareit Emerging Index
ENEL,FTSE Epra/Nareit Emer Americas Index
ENEM,FTSE Epra/Nareit Emerging EMEA Index
ENET,Ethernity Networks Ltd
ENEU,FTSE Epra/Nareit Emerging Europe Index
ENGB,UBS Ag
ENGD,Epra/Nareit Global Index
ENGL,Epra Global Index
ENGY,SSGA SPDR ETFS Europe II
ENHA,FTSE Epra/Nareit Americas Index
ENHE,FTSE Epra/Nareit Global Ex US Index
ENHG,FTSE Epra/Nareit Global Index
ENHM,FTSE Epra/Nareit Middle East and Africa
ENHN,FTSE Epra/Nareit EMEA Index
ENHP,FTSE Epra/Nareit Asia Pacific Index
ENHU,FTSE Epra/Nareit Europe Index
ENME,FTSE Epra/Nareit Emer M East&Africa Idx
ENOG,Energean Oil & Gas Plc
ENQ,Enquest Plc
ENSI,
ENT,Edinburgh New Tiger
ENUD,Epra/Nareit US Index
ENW,
ENXGUS,FTSE Epra/Nareit Global
EO100,FTSE Env Opportunities 1
EOAP,FTSE Evm Opport Asia Pac Index
EOAS,FTSE Env Opp All-Shares Idx
EOAX,FTSE Evm Opport Asia Pac Ex-Japan Index
EOEE,FTSE Env Opp Energy Eff Idx
EOEE50,FTSE Env Opp Energy Eff
EOEU,FTSE Evm Opport Europe Index
EOG,Europa Oil & Gas [Holdings] Plc
EOJP,FTSE Evm Opportjapan Index
EORE,FTSE Env Opp Re+Alt Energy Eff Idx
EORE50,FTSE Env Opp Re+Alt Ener
EOUK,FTSE Evm Opport UK Index
EOUS,FTSE Evm Opport US Index
EOWP,FTSE Env Opp Waste+Pollution Control Idx
EOWP30,FTSE Env Opp Waste+Pollu
EOWR,FTSE Env Opp Water Tech Index
EOWR30,FTSE Env Opp Water Tech
EPAXJRJN,FTSE Epra/Nareit Asia Ex Japan Reits 10%
EPAXJRSN,FTSE Epra/Nareit Asia Ex Japan Reits 10%
EPAXJRUN,FTSE Epra/Nareit Asia Ex Japan Reits 10%
EPDEU,FTSE Epra/Nareit Developed Eurozone Inde
EPEU,Epra Euro Zone Index
EPGR,FTSE Epra/Nareit Germany Index
EPHG,Epra Europe [Uk Restricted] Index
EPIC,Ediston Property Investm
EPRA,Epra Europe Index
EPRE,Amundi ETF
EPWN,Epwin Group Plc
EPXAJNS,FTSE Epra/Nareit Asia Pacific Ex Austral
EPXAJNSN,FTSE Epra/Nareit Asia Pacific Ex Austral
EQDS,Ishares II Plc
EQGB,Powershares Glbal Funds Ireland Plc
EQLS,Equals Group Plc
EQQQ,Powershares Glbal Funds Ireland Plc
EQQU,Powershares Glbal Funds
EQT,Eqtec Plc
EREE,FTSE Epra/Nareit Europe REIT
ERGO,Ergomed Plc
ERM,Euromoney Institutional Investor Plc
ERN1,Ishares IV Plc
ERNA,Ishares IV Plc
ERND,Ishares IV Plc
ERNE,Ishares IV Plc
ERNS,Ishares IV Plc
ERNU,Ishares IV Plc
ERO,SSGA SPDR ETFS Europe II
ERO1,Eros International Plc
ES15,Ishares Plc
ESCT,
ESDG,Amundi Index Solutions
ESDU,Amundi Index Solutions
ESG6,Assicurazioni Generali Spa
ESGB,Vaneck Vectors Ucits ETFS Plc
ESGE,Invesco Markets II Plc
ESGG,Invesco Markets II Plc
ESGIDNNR,FTSE Indonesia ESG Net Tax Index
ESGIDNR,FTSE Indonesia ESG Index
ESGL,Multi Units Luxembourg
ESGS,Invesco Markets II Plc
ESGU,Invesco Markets II Plc
ESGW,Invesco Markets II Plc
ESKN,
ESNT,Essentra Plc
ESO,Epe Special Opportunities Plc
ESP,Empiric Student Property
ESPO,Vaneck Vectors Ucits ETFS Plc
ESRG,Amundi Index Solutions
ESRU,Amundi Index Solutions
EST,Eastern European Trust Plc
ESYS,Essensys Plc
ET100,FTSE Et100
ET50,FTSE Et50 Index
ETLN,Etalon Group Limited
ETP,
ETX,E-Therapeutics Plc
EU13,SSGA SPDR ETFS Europe I
EUA,Eurasia Mining Plc
EUCO,SSGA SPDR ETFS Europe I
EUDI,SSGA SPDR ETFS Europe I Plc
EUDV,SSGA SPDR ETFS Europe I Plc
EUE,Ishares II Plc
EUHD,Powershares Glbal Funds Ireland Plc
EUMD,Ishares Vi Plc
EUN,Ishares II Plc
EUP3,ETFS Foreign Exchange Li
EUP5,ETFS Foreign Exchange Limited
EUXS,Ishares Plc
EUZ,Europa Metals Ltd
EVAL,SSGA SPDR ETFS Europe II
EVE,Eve Sleep Plc
EVG,Evgen Pharma Plc
EVM7,Virgin Media Secured Fin
EWI,Edinburgh Worldwide Investment Trust Plc
EXPN,Experian Plc
EXR,Expro Intl Group
EYE,Eagle Eye Solutions Grou
EZF2,Zurich Finance [Uk] Plc
EZJ,Easyjet Plc
F4GAS,Ftse4Goodaseanind
F4GEM,Ftse4Goodemergind
F4GLA,Ftse4Goodemlatamind
F4GTTE,Ftse4Good Tip Taiwan ESG Index
FAB,Fusion Antibodies Plc
FAGB,Powershares Glbal Funds Ireland Plc
FAGR,ETFS Commodity Securities Limited
FAHY,Powershares Glbal Funds Ireland Plc
FAIG,ETFS Commodity Securities Limited
FAIR,Fair Oaks Income Fund Li
FAN,Volution Group Plc
FAR,Ferro-Alloy Resources Limited
FARN,Faron Pharmaceuticals Oy
FAS,Fidelity Asian Values Plc
FAUSA,FTSE Asfa Australia All-Share Index
FAUSLMC,FTSE Asfa Australia 200 Index
FAUSO,FTSE Asfa Australia 100 Index
FAUSSC,FTSE Asfa Australia Small Cap Index
FAUST,FTSE Asfa Australia 300 Index
FAXUCPF,FTSE All-World Ex US Comprehensive Facto
FAXUCPFN,FTSE All-World Ex US Comprehensive Facto
FB2,Leverage Shares Public Limited Company
FBH,Fbd Holdings Plc
FBRIC,FTSE BRIC 50 Index
FBRIC50,FTSE RAFI BRIC Index
FBRT,ETFS Commodity Securities Limited
FBT,Blackbird Plc
FCAH50,FTSE China A-H 50 Index
FCAP,Finncap Group Plc
FCASC,FTSE China A Stock Connect CNY Index
FCATC,FTSE China Incl A 25% Technology Capped
FCATCR,FTSE China Incl A 25% Technology Capped
FCH,Funding Circle Holdings Plc
FCIT,F&C Investment Trust Plc
FCM,
FCNACL2X,FTSE N Share 2X Daily Leverage Index
FCNACL3X,FTSE N Share 3X Daily Leverage Index
FCNACS1X,FTSE N Share Daily Short Index
FCNACS2X,FTSE N Share 2X Daily Short Index
FCNACS3X,FTSE N Share 3X Daily Short Index
FCNBCA,
FCNBCG,
FCRM,Fulcrum Utility Services Ld
FCRU,ETFS Commodity Securities Limited
FCSE,FTSE CSE Morocco 15 Index
FCSELIQ,FTSE CSE Morocco All-Liquid Index
FCSS,Fidelity China Special Situations Plc
FDBK,Feedback Plc
FDECICN,FTSE Developed Europe Core Infrastructur
FDESMTP,FTSE Developed Europe Nothing
FDEUCPF,FTSE Developed Europe Comprehensive Fact
FDEUCPFN,FTSE Developed Europe Comprehensive Fact
FDEV,Frontier Developments Pl
FDIC50,FTSE Divest-Invest China A50 Index
FDIC50U,FTSE Divest-Invest China A50 USD Index
FDM,Fdm Group [Holdings] Plc
FDN,First Trust Global Funds Public Limited
FDNU,First Trust Global Funds Public Limited
FDP,First Derivatives Plc
FDXUCPFR,FTSE Developed Ex US Comprehensive Facto
FDXULBR,FTSE Developed Ex US Low Beta Equal Weig
FDXUMCRF,FTSE Developed Ex US Country Relative MO
FDXUMCRN,FTSE Developed Ex US Country Relative Fa
FDXUVCRF,FTSE Developed Ex US Country Relative Vo
FDXUVCRN,FTSE Developed Ex US Country Relative Vo
FECPFR,FTSE Emerging Comprehensive Factor Net T
FEDF,Multi Units Luxembourg
FEDG,Multi Units Luxembourg
FEET,Fundsmith Emerging Equit
FEM,First Trust Global Funds
FEMCRF,FTSE Emerging Country Relative Momentum
FEMCRN,FTSE Emerging Country Relative Momentum
FEMD,Fidelity Ucits Icav
FEME,Fidelity Ucits Icav
FEMI,Fidelity Ucits Icav
FEML,
FEMQ,Fidelity Ucits Icav
FEMU,First Trust Global Funds
FEN,Frenkel Topping Group Plc
FENGXUK,FTSE Epra Nareit Developed Europe Ex UK
FENGXUKN,FTSE Epra Nareit Developed Europe Ex UK
FEQD,Fidelity Ucits Icav
FEQP,Fidelity Ucits Icav
FERG,Ferguson Plc
FEUD,First Trust Global Funds Public Limited
FEUI,Fidelity Ucits Icav
FEUZ,First Trust Global Funds
FEV,Fidelity European Values Plc
FEVCRF,FTSE Emerging Country Relative Volatilit
FEVCRN,FTSE Emerging Country Relative Volatilit
FEVR,Fevertree Drinks Plc
FEX,First Trust Global Funds
FEXD,First Trust Global Funds
FEXU,First Trust Global Funds
FF50,FTSE Frontier 50 Index
FFRSMTP,FTSE Nothing Index
FGBL,First Trust Global Funds
FGCACXUR,FTSE Global All Cap Ex USA Choice Net Ta
FGCDXAUN,FTSE Dvlpd Ex Aus Ex Non-Rnwble Enrgy/Vi
FGCUSACN,FTSE USA All Cap Choice Net Tax Index
FGP,Firstgroup Plc
FGQD,Fidelity Ucits Icav
FGQI,Fidelity Ucits Icav
FGQP,Fidelity Ucits Icav
FGT,Finsbury Growth & Income Trust Plc
FIF,Finsbury Food Group Plc
FIH,Fih Group Plc
FIND,ETFS Commodity Securities Limited
FING,Multi Units Luxembourg
FINW,Multi Units Luxembourg
FIPP,Frontier Ip Group Plc
FISAUACU,FTSE Saudi Arabia All Cap Index
FISAULM,FTSE Saudi Arabia Index
FISAULMU,FTSE Saudi Arabia Index
FITSMTP,FTSE Nothing Index
FIVNM30,FTSE Vietnam 30 Index
FJACPF,FTSE Japan Comprehensive Factor Index
FJACPFN,FTSE Japan Comprehensive Factor Net Tax
FJV,Fidelity Japanese Values Plc
FKE,Fiske Plc
FKU,First Trust Global Funds
FKUD,First Trust Global Funds Public Limited
FLES,Franklin Libertyshares Icav
FLK,Fletcher King Plc
FLKS,FTSE Lujain Kuwait Shariah Index
FLKW,FTSE Lujain Kuwait Index
FLO,Flowtech Fluidpower Plc
FLO5,Ishares II Plc
FLOA,Ishares II Plc
FLOS,Ishares II Plc
FLOT,Ishares II Plc
FLQA,Franklin Libertyshares Icav
FLQL1,Libertyq US Large Cap Equity Index
FLQM1,Libertyq US Mid Cap Equity Index
FLQS1,Libertyq US Scall Cap Equity Index
FLRG,Franklin Libertyshares Icav
FLRK,Franklin Libertyshares Icav
FLTR,Flutter Entertainment Plc
FLUC,Franklin Libertyshares Icav
FLX,Falanx Group Limited
FLXB,Franklin Libertyshares Icav
FLXC,Franklin Libertyshares Icav
FLXD,Franklin Libertyshares Icav
FLXE,Franklin Libertyshares Icav
FLXI,Franklin Libertyshares Icav
FLXK,Franklin Libertyshares Icav
FLXU,Franklin Libertyshares Icav
FLXX,Franklin Libertyshares Icav
FME,
FMIBI1,FTSE MIB Short Strategy
FMIBI1X,FTSE MIB Daily Short Str
FMIBI2,FTSE MIB Daily Super Sho
FMIBI2X,FTSE MIB Daily Super Sho
FMIBI3X,FTSE MIB Daily Ultra Sho
FMIBI5X,FTSE MIB Gross TR Index
FMIBL2,FTSE MIB Daily Leveraged
FMIBL2X,FTSE MIB Daily Leveraged
FMIBL3X,FTSE MIB Daily Super Lev
FMIBL4X,FTSE MIB Daily Ultra Lev
FMIBL5X,FTSE MIB TR Index
FN10,FTSE Nareit Equity Diver
FN1000,FTSE Nareit Equity Data Centers
FN11,FTSE Nareit Equity Healt
FN12,FTSE Nareit Equity Self
FN13C,FTSE Nareit Industrial/O
FN14,FTSE Nareit Equity Indus
FN15,FTSE Nareit Equity Offic
FN17,FTSE Nareit Equity Resid
FN17C,FTSE Nareit All Resident
FN18,FTSE Nareit Equity Apart
FN19,FTSE Nareit Equity Manuf
FN191,FTSE Nareit Equity Single Family Hom
FN20,FTSE Nareit Equity Retai
FN20C,FTSE Nareit Retail Cappe
FN21,FTSE Nareit Equity Shopp
FN22,FTSE Nareit Equity Regio
FN23,FTSE Nareit Equity Free
FN24,FTSE Nareit Equity Lodgi
FN26,FTSE Nareit Timber
FN28,FTSE Nareit Infrastructu
FN42,FTSE Nareit Mortgage Hom
FN43,FTSE Nareit Mortgage Com
FNAR,FTSE Nareit All Reits
FNCL,SSGA SPDR ETFS Europe II
FNCO,FTSE Nareit Composite
FNER,FTSE Nareit Equity Reits
FNMR,FTSE Nareit Mortgage Reits
FNMRC,FTSE Nareit All Mortgage Capped Index
FNMRNT,FTSE Nareit Mortgage Reits Twd Net Tax I
FNMRNU,FTSE Nareit Mortgage Reits USD Net Tax I
FNR5,FTSE Nareit Real Estate
FNRE,FTSE Nareit Equity
FNTL,
FNX,
FOG,Falcon Oil & Gas Ltd
FOOD,UBS Ag
FORT,Forterra Plc
FOUR,4Imprint Group Plc
FOXT,Foxtons Group Plc
FP,Friends Provident
FPO,First Property Group Plc
FPP,Fragrant Prosperity Holdings Limited
FPX,First Trust Global Funds
FQCAACY,FTSE China A All Cap Ind
FQCAN,FTSE China A Net Tax Ind
FQCANU,FTSE China A Net Tax USD Index
FQCAY,FTSE China A Index
FQE,FTSE Emerging R/Qfii Ind
FQEAC,FTSE Emerging All Cap R/
FQEACN,FTSE Emerging All Cap R/
FQEACR,FTSE Emerging All Cap R/
FQECONQ,FTSE Emerging Incl China
FQECOQ,FTSE Emerging Incl China
FQEN,FTSE Emerging R/Qfii Net
FR10,FTSE RAFI 1000 Index
FR10N,FTSE RAFI US 1000 Net IN
FR10Q,FTSE RAFI US 1000 Index
FR10QN,FTSE RAFI US 1000 Net IN
FR15,FTSE RAFI US 1500 Index
FR15N,FTSE RAFI US 1500 MS Ind
FR15Q,FTSE RAFI US 1500 Mid Sm
FR15QN,FTSE RAFI US 1500 Mid Sm
FR30Q,FTSE RAFI US 3000 Index
FRAN,Franchise Brands Plc
FRAPXJQN,FTSE RAFI Asia Pacific E
FRAU200,FTSE RAFI Australia 200
FRAW3,FTSE RAFI All-World 3000
FRAW3Q,FTSE RAFI All World 3000
FRAWLVNU,FTSE RAFI All-World Low
FRAWLVQU,FTSE RAFI All-World Low
FRBR5,FTSE RAFI Brazil 50 Inde
FRCAN,FTSE RAFI Canada Index
FRCANQ,FTSE RAFI Canada Index -
FRCH,Franklin Libertyshares Icav
FRCHEN,FTSE RAFI Switzerland Index
FRD,FTSE RAFI Dev 1000 Idx
FRDAPXJ,FTSE RAFI Dev Asia/Pac Ex Japan
FRDAPXJN,FTSE RAFI Dev Asia Pacific Ex Jap Net IN
FRDAPXJQ,FTSE RAFI Developed Asia
FRDELVN,FTSE RAFI Developed Euro
FRDELVNU,FTSE RAFI Developed Low
FRDELVQ,FTSE RAFI Developed Euro
FRDELVQU,FTSE RAFI Developed Low
FRDQ,FTSE RAFI Developed 1000
FREM,FTSE RAFI Emerging Index
FREMLVNU,FTSE RAFI USD Emerging L
FREMLVQU,FTSE RAFI Emerging Low V
FREMN,FTSE RAFI Emer Nt Index
FREMQ,FTSE RAFI Emerging Index
FREMQN,FTSE RAFI Emerging Net I
FRES,Fresnillo Plc
FREU,FTSE Europe Index
FREUQ,FTSE RAFI Europe Index -
FREZ,FTSE RAFI Eurozone Index
FRG,fraport ag npv
FRGBR1,FTSE RAFI UK 100 Index
FRGBR1N,FTSE RAFI UK 100 Net Ind
FRGBR1Q,FTSE RAFI UK 100 Index -
FRGBR3,FTSE RAFI UK 300 Index
FRGBR3Q,FTSE RAFI UK 300 Index -
FRGD,Franklin Libertyshares Icav
FRHKG,FTSE RAFI Hong Kong/China Index
FRIN,Franklin Libertyshares Icav
FRITA3,FTSE Rfi Italy 30 Index
FRITA3Q,FTSE RAFI Italy 30 Index
FRJP350Q,FTSE RAFI Japan 350 Inde
FRJPN,FTSE RAFI Japan Index
FRJPN350,FTSE RAFI Japan 350 Inde
FRJPNQ,FTSE RAFI Japan Index -
FRJPNUH,FTSE RAFI Japan Index [Cad]
FRP,Fairpoint Group Plc
FRQX,Franklin Libertyshares Icav
FRSDEURN,FTSE RAFI Dveu Net Index
FRSDEURQ,FTSE RAFI Developed Euro
FRSDEURS,FTSE RAFI Developed Europe Mid Small
FRSDXUS,FTSE RAFI Developed Ex US Mid Small 1500
FRSDXUSN,FTSE RAFI Dev Ex US MS Index
FRSDXUSQ,FTSE RAFI Developed Mid
FRSWEAC,FTSE RAFI Sweden All Cap Index
FRTW100,Tsec RAFI Taian 100 Inde
FRTW50,Tsec RAFI Taian 50 Index
FRUC,Franklin Libertyshares Icav
FRUE,Franklin Libertyshares Icav
FRUKLVN,FTSE RAFI UK Low Volatil
FRUKLVQ,FTSE RAFI UK Low Volatil
FRUR,FTSE RAFI US 100 Real Estate Index
FRUS500,FTSE RAFI US 500 Index
FRUSLVN,FTSE RAFI US Low Volatil
FRUSLVQ,FTSE RAFI US Low Volatil
FRX1,FTSE RAFI Global Ex US 1
FRX1C,FTSE RAFI Global Ex US 1
FRX1N,FTSE RAFI Dev Ex US Inde
FRX1Q,FTSE RAFI Developed Ex U
FRX1QN,FTSE RAFI Developed Ex U
FRXD,Franklin Libertyshares Icav
FRXE,Franklin Libertyshares Icav
FRXR,FTSE RAFI Global Ex US Real Estate
FRXULVNU,FTSE RAFI Developed Ex U
FRXULVQU,FTSE RAFI Developed Ex U
FSEU,Ishares IV Plc
FSF,Family Shari'Ah Fund [The] Ltd
FSFL,Foresight Solar Fund Lim
FSG,Focus Sol.GRP
FSJ,Fisher [James] & Sons Plc
FSKY,First Trust Global Funds Public Limited
FSTA,Fuller Smith & Turner Plc
FSTHA,FTSE Set All Shares Index
FSTHF,FTSE Set Fledgling Index
FSTHL,FTSE Set Large Cap Index
FSTHM,FTSE Set Mid Cap Index
FSTHMS,FTSE Set Mid Small Cap Index
FSTHS,FTSE Set Small Cap Index
FSTSH,FTSE Set Shariah Index
FSUS,Ishares IV Plc
FSV,Fidelity Special Values Plc
FSWD,Ishares IV Plc
FT1K,Amundi ETF
FTAD,SSGA SPDR ETFS Europe I Plc
FTAL,SSGA SPDR ETFS Europe I Plc
FTBIVA,FTSE Biva Index
FTBIVAN,FTSE Biva Net Tax Index
FTC,Filtronic Plc
FTCRAU,FTSE Australia Ric Capped Index
FTCRAUN,FTSE Australia Ric Capped Net Tax Index
FTCRAXJ,FTSE Asia Ex Japan Ric Capped Index
FTCRAXJN,FTSE Asia Ex Japan Ric Capped Net Tax IN
FTCRBRA,FTSE Brazil Ric Capped Index
FTCRBRAN,FTSE Brazil Ric Capped Net Tax Index
FTCRCAN,FTSE Canada Ric Capped Index
FTCRCANN,FTSE Canada Ric Capped Net Tax Index
FTCRCHE,FTSE Switzerland Ric Capped Index
FTCRCHEN,FTSE Switzerland Ric Capped Net Tax Inde
FTCRCHN,FTSE China Ric Capped Index
FTCRCHNN,FTSE China Ric Capped Net Tax Index
FTCRDERN,FTSE Developed Europe Ric Capped Net Tax
FTCRDEU,FTSE Germany Ric Capped Index
