Co_ID;PO ID;Exchange;Name;" Root
Ticker "; MarketCap ; OutstandingShares ;Sector; Sub-Sector ;"HQ
Location";"HQ
Region";Listing Type;Listing Date;Interlisted;OTC;CPC;CompositeIndex;2024 Venture 50;USA City;Asia Region;Israel Related;Clean Technology Primary Industry;Cleantech Sub-Sector;"Consumer Products & Services
Sub-Sector"; Life Sciences Sub-Sector ; Real Estate Sub-Sector ; Technology Sub-Sector ;Trust; Volume ; Value ; Trades ; MonthsTrading 
V-04204;1171065;TSXV;01 Communique Laboratory Inc.;ONE; 7 709 164 ; 96 364 554 ;Technology;;ON;Canada;TSX Comedown;20140731;;;;;;;;;;;;;; Software ;; 6 316 140 ; 382 944 ; 820 ;11
V-02623;1113792;TSXV;1844 Resources Inc.;EFF; 1 947 765 ; 97 388 258 ;Mining;;SK;Canada;QT from NEX;20120103;;;Y;;;;;;;;;;;;; 8 124 136 ; 146 119 ; 386 ;11
V-04468;1181462;TSXV;1911 Gold Corporation;AUMB; 25 023 739 ; 153 519 874 ;Mining;;BC;Canada;Other;20180725;;;;;;;;;;;;;;;; 44 035 986 ; 5 571 029 ; 6 208 ;11
V-02423;1110620;TSXV;49 North Resources Inc.;FNR; 3 324 766 ; 166 238 310 ;Financial Services;;SK;Canada;Other;20061228;;;;;;;;;;;;;;;; 16 787 720 ; 461 253 ; 413 ;11
V-04954;1186930;TSXV;5D Acquisition Corp.;FIVD.P; 562 900 ; 5 629 000 ;CPC;;BC;Canada;IPO/CPC;20230414;;;Y;;;;;;;;;;;;;;;;
V-00002;11607;TSXV;A.I.S. Resources Limited;AIS; 612 646 ; 20 421 540 ;Mining;;BC;Canada;;;;;;;;;;;;;;;;;; 8 886 627 ; 161 516 ; 449 ;11
V-04889;1186365;TSXV;A2ZCryptocap Inc.;AZC.P; 211 400 ; 6 040 000 ;CPC;;AB;Canada;IPO/CPC;20220623;;;Y;;;;;;;;;;;;; 230 200 ; 17 795 ; 23 ;7
V-04890;1186325;TSXV;AAJ Capital 3 Corp.;AAAJ.P; 903 000 ; 6 450 000 ;CPC;;BC;Canada;IPO/CPC;20220614;;;Y;;;;;;;;;;;;; 127 216 ; 6 611 ; 41 ;11
V-04881;1186495;TSXV;Aardvark 2 Capital Corp.;ACCB.P; 360 000 ; 7 200 000 ;CPC;;ON;Canada;IPO/CPC;20220525;;;Y;;;;;;;;;;;;; 58 034 ; 7 572 ; 27 ;5
V-00015;12060;TSXV;Abacus Mining & Exploration Corporation;AME; 3 727 657 ; 149 106 263 ;Mining;;BC;Canada;;;;;;;;;;;;;;;;;; 5 610 840 ; 156 065 ; 457 ;11
V-04612;1183465;TSXV;Abasca Resources Inc.;ABA; 6 847 542 ; 76 083 797 ;Mining;;SK;Canada;RTO;20230111;;;;;;;;;;;;;;;; 672 882 ; 92 804 ; 140 ;11
V-00017;1074330;TSXV;Abcourt Mines Inc.;ABI; 35 828 991 ; 716 579 825 ;Mining;;QC;Canada;;;;;;;;;;;;;;;;;; 70 791 779 ; 3 524 203 ; 2 412 ;11
V-00450;10787;TSXV;Aben Minerals Ltd.;ABM; 1 216 783 ; 18 719 736 ;Mining;;BC;Canada;;;;;;;;;;;;;;;;;; 2 853 389 ; 233 966 ; 470 ;11
V-01325;1023613;TSXV;AbraSilver Resource Corp.;ABRA; 343 200 104 ; 126 176 509 ;Mining;;BC;Canada;RTO from NEX;20170426;;OTCQX;;Y;;;;;;;;;;;; 117 572 289 ; 104 329 955 ; 64 799 ;11
V-05013;1188085;TSXV;AC/DC Battery Metals Inc.;ACDC; 2 334 827 ; 51 885 044 ;Mining;;BC;Canada;Other;20240627;;;;;;;;;;;;;;;; 1 171 152 ; 76 693 ; 445 ;5
V-01580;1099471;TSXV;Acceleware Ltd.;AXE; 15 397 011 ; 118 438 543 ;Clean Technology & Renewable Energy;Energy Services;AB;Canada;QT;20060119;;;Y;;;;;;Industrial Products & Services;Low Impact Material and Products;;;;;; 3 689 613 ; 449 680 ; 627 ;11
V-02096;1024008;TSXV;Ackroo Inc.;AKR; 14 375 619 ; 115 004 952 ;Technology;;ON;Canada;RTO;20121010;;;Y;;;;;;;;;;; Internet Software & Services ;; 4 788 621 ; 502 652 ; 502 ;11
V-04891;1186460;TSXV;AD4 Capital Corp.;ADJ.P; 1 162 500 ; 15 500 001 ;CPC;;BC;Canada;IPO/CPC;20220628;;;Y;;;;;;;;;;;;; 300 032 ; 23 852 ; 57 ;10
V-00554;1087218;TSXV;Adamera Minerals Corp.;ADZ; 6 852 388 ; 31 871 571 ;Mining;;BC;Canada;;20130219;;;;;;;;;;;;;;;; 14 775 757 ; 500 014 ; 817 ;11
V-02548;1110524;TSXV;Adex Mining Inc.;ADE; 6 772 114 ; 677 211 441 ;Mining;;ON;Canada;Other;20070716;;;;;;;;;;;;;;;; 14 578 097 ; 105 910 ; 532 ;11
V-00041;10983;TSXV;Advent-AWI Holdings Inc.;AWI; 9 906 476 ; 11 935 513 ;Technology;;BC;Canada;;;;;;;;;;;;;;;; Communication Technology ;; 59 190 ; 44 458 ; 34 ;8
V-01941;1063055;TSXV;Adya Inc.;ADYA; 590 339 ; 23 613 541 ;Comm. & Media;;ON;Canada;;;;OTCQB;;;;;;;;;;;;;; 148 968 ; 5 982 ; 86 ;11
V-04534;1181455;TSXV;Adyton Resources Corporation;ADY; 44 190 120 ; 259 941 885 ;Mining;;Australia;Australia/NZ/PNG;QT;20210224;;;Y;;;;;;;;;;;;; 66 296 623 ; 7 668 654 ; 3 048 ;11
V-04240;1173500;TSXV;Aequus Pharmaceuticals Inc.;AQS; 1 326 344 ; 132 634 431 ;Life Sciences;;BC;Canada;Other;20150317;;OTCQB;;;;;;;;;; Biotechnology ;;;; 20 095 274 ; 411 365 ; 657 ;11
V-00936;1099280;TSXV;Aero Energy Limited;AERO; 6 029 697 ; 120 593 944 ;Mining;;BC;Canada;RTO from NEX;20201231;;;Y;;;;;;;;;;;;; 36 253 738 ; 3 744 473 ; 4 470 ;11
V-04708;1184455;TSXV;AF2 Capital Corp.;AF.P; 250 000 ; 5 000 000 ;CPC;;BC;Canada;IPO/CPC;20210315;;;Y;;;;;;;;;;;;;;;;
V-00048;13918;TSXV;AFR NuVenture Resources Inc.;AFR; 270 580 ; 18 038 681 ;Mining;;BC;Canada;;;;;;;;;;;;;;;;;; 2 547 787 ; 29 572 ; 118 ;11
V-03651;1137385;TSXV;Africa Energy Corp.;AFE; 35 195 306 ; 1 407 812 249 ;Oil & Gas;;BC;Canada;QT;20110923;;;Y;;;;;;;;;;;;; 21 181 652 ; 1 276 199 ; 2 119 ;11
V-03817;1148820;TSXV;Aftermath Silver Ltd.;AAG; 128 636 088 ; 265 229 047 ;Mining;;BC;Canada;Other;20110712;;OTCQX;;Y;;;;;;;;;;;; 122 723 157 ; 48 222 738 ; 30 721 ;11
V-04931;1186895;TSXV;AGEDB Technology Ltd.;AGET; 5 085 984 ; 42 383 200 ;Technology;;BC;Canada;QT;20240325;;;Y;;;;;;;;;;; Software ;; 1 074 486 ; 743 016 ; 654 ;9
V-03689;1134760;TSXV;AI Artificial Intelligence Ventures Inc.;AIVC; 15 532 345 ; 32 025 453 ;Financial Services;;BC;Canada;QT;20110720;;OTCQB;Y;;;;;;;;;;;;; 10 192 249 ; 4 515 808 ; 5 557 ;11
V-04675;1184325;TSXV;AIM5 Ventures Inc.;AIME.P; 393 000 ; 6 550 000 ;CPC;;ON;Canada;IPO/CPC;20201124;;;Y;;;;;;;;;;;;; 95 500 ; 5 820 ; 15 ;7
V-04709;1184840;TSXV;AIM6 Ventures Inc.;AIMF.P; 178 000 ; 8 900 000 ;CPC;;ON;Canada;IPO/CPC;20210430;;;Y;;;;;;;;;;;;; 71 682 ; 4 675 ; 15 ;6
V-04358;1179630;TSXV;AIP Realty Trust;AIP; 1 723 557 ; 4 924 448 ;Real Estate;;TX;USA;QT;20220421;;;Y;;;Lewisville;;;;;;; Specialized ;; Y ; 127 423 ; 53 788 ; 83 ;8
V-03017;1124605;TSXV;AirIQ Inc.;IQ; 11 804 030 ; 29 510 074 ;Technology;;ON;Canada;TSX Comedown;20090909;;;;;;;;;;;;;; Software ;; 3 368 651 ; 1 435 601 ; 1 205 ;11
V-04425;1180570;TSXV;Aisix Solutions Inc.;AISX; 2 840 618 ; 113 624 703 ;Technology;;BC;Canada;QT;20190605;;OTCQB;Y;;;;;;;;;;; Software ;; 16 919 748 ; 600 652 ; 1 238 ;11
V-04469;1179370;TSXV;Aja Health and Wellness Inc.;AJA; 4 334 387 ; 86 687 742 ;Life Sciences;;BC;Canada;RTO;20240926;;;;;;;;;;;; Healthcare Technology ;;;; 178 418 ; 6 124 ; 21 ;2
V-03095;1126366;TSXV;Akwaaba Mining Ltd.;AML; 1 374 386 ; 10 995 089 ;Mining;;BC;Canada;QT;20110309;;;Y;;;;;;;;;;;;; 74 199 ; 11 547 ; 50 ;9
V-04545;1182480;TSXV;A-Labs Capital II Corp.;ALAB.P; 28 815 ; 5 762 900 ;CPC;;Israel;Other;IPO/CPC;20190313;;;Y;;;;;Y;;;;;;;;;;;
V-04598;1183170;TSXV;A-Labs Capital IV Corp.;ALCC.P; 400 000 ; 4 000 000 ;CPC;;Israel;Other;IPO/CPC;20190930;;;Y;;;;;Y;;;;;;;;;;;
V-00703;1060962;TSXV;Alaska Energy Metals Corporation;AEMC; 18 476 624 ; 153 971 867 ;Mining;;BC;Canada;Other;20050113;;OTCQB;;;;;;;;;;;;;; 98 308 443 ; 25 785 179 ; 24 136 ;11
V-04903;1185920;TSXV;Albatros Acquisition Corporation Inc.;ALBT.P; 36 733 ; 3 673 334 ;CPC;;QC;Canada;IPO/CPC;20220705;;;Y;;;;;;;;;;;;; 327 498 ; 4 111 ; 27 ;8
V-04956;1186825;TSXV;ALDD Ventures Corp.;ALDD.P; 38 000 ; 7 600 000 ;CPC;;BC;Canada;IPO/CPC;20230505;;;Y;;;;;;;;;;;;;;;;
V-04511;1182095;TSXV;Aldebaran Resources Inc.;ALDE; 373 690 064 ; 169 859 120 ;Mining;;BC;Canada;Other;20181102;;OTCQX;;;;;;;;;;;;;; 8 711 109 ; 10 729 133 ; 6 454 ;11
V-04397;1180555;TSXV;Allegiant Gold Ltd.;AUAU; 17 338 708 ; 105 083 080 ;Mining;;BC;Canada;Other;20180130;;OTCQX;;;;;;;;;;;;;; 13 144 994 ; 2 018 642 ; 2 131 ;11
V-03928;1149926;TSXV;Alliance Mining Corp.;ALM; 1 224 204 ; 8 744 316 ;Mining;;BC;Canada;Other;20120127;;;;;;;;;;;;;;;; 539 683 ; 59 035 ; 50 ;10
V-04436;1181265;TSXV;Almadex Minerals Ltd.;DEX; 10 371 350 ; 61 007 944 ;Mining;;BC;Canada;Other;20180525;;;;;;;;;;;;;;;; 7 205 330 ; 1 576 154 ; 1 984 ;11
V-02776;1115533;TSXV;Aloro Mining Corp.;AORO; 577 293 ; 57 729 263 ;Mining;;BC;Canada;IPO;20080317;;;;;;;;;;;;;;;; 1 639 103 ; 23 833 ; 111 ;11
V-04803;1185453;TSXV;Alpha Exploration Ltd.;ALEX; 83 407 493 ; 90 660 318 ;Mining;;Eritrea;Africa;Other;20211101;;;;;;;;;;;;;;;; 1 076 179 ; 917 495 ; 912 ;11
V-01105;30682;TSXV;Alphamin Resources Corp.;AFM; 1 470 517 051 ; 1 278 710 479 ;Mining;;Mauritius;Africa;;;JSE;;;;;;;;;;;;;;; 140 410 670 ; 150 845 010 ; 82 137 ;11
V-04272;1174860;TSXV;Alset AI Ventures Inc.;GPUS; 6 152 165 ; 102 536 084 ;Financial Services;;BC;Canada;Other;20151103;;;;;;;;;;;;;;;; 41 098 266 ; 5 996 140 ; 6 598 ;11
V-00084;1078210;TSXV;Altai Resources Inc.;ATI; 3 922 349 ; 56 033 552 ;Mining;;ON;Canada;;;;;;;;;;;;;;;;;; 21 998 890 ; 1 440 530 ; 1 128 ;11
V-02342;1107986;TSXV;Altair Resources Inc.;AVX; 286 333 ; 57 266 624 ;Mining;;BC;Canada;QT;20070315;;;Y;;;;;;;;;;;;;;;;
V-02021;816867;TSXV;Altamira Gold Corp.;ALTA; 36 036 139 ; 211 977 286 ;Mining;;BC;Canada;;;;;;;;;;;;;;;;;; 17 769 601 ; 2 411 370 ; 3 493 ;11
V-04766;1183400;TSXV;Alterego Ventures 24 Corp.;ALTR.P; 202 538 ; 6 751 281 ;CPC;;Israel;Other;IPO/CPC;20210824;;;Y;;;;;Y;;;;;;;; 135 754 ; 6 773 ; 27 ;9
V-00087;1093156;TSXV;Altima Resources Ltd.;ARH; 9 115 992 ; 56 974 949 ;Oil & Gas;;BC;Canada;QT;20060509;;;Y;;;;;;;;;;;;; 25 903 447 ; 2 674 880 ; 1 570 ;11
V-04661;1183871;TSXV;Altina Capital Corp.;ALTN.P; 1 000 000 ; 8 000 000 ;CPC;;BC;Canada;IPO/CPC;20200921;;;Y;;;;;;;;;;;;;;;;
V-03720;1142260;TSXV;Altiplano Metals Inc.;APN; 5 865 017 ; 130 333 721 ;Mining;;AB;Canada;IPO;20110202;;;;;;;;;;;;;;;; 12 612 911 ; 1 263 635 ; 1 637 ;11
V-01024;1023320;TSXV;Alturas Minerals Corp.;ALT; 1 456 321 ; 145 632 143 ;Mining;;Peru;Latin America;RTO;20060410;Lima (BVL);;;;;;;;;;;;;;; 1 737 389 ; 13 504 ; 136 ;11
V-04791;1184800;TSXV;Aluula Composites Inc.;AUUA; 25 061 562 ; 250 615 623 ;Industrial Products & Services;;BC;Canada;QT;20230420;;;Y;;;;;;;;;;;;; 7 404 748 ; 926 112 ; 977 ;11
V-04166;1167640;TSXV;Alvopetro Energy Ltd.;ALV; 159 394 607 ; 36 558 396 ;Oil & Gas;;AB;Canada;Other;20131205;;OTCQX;;Y;Y;;;;;;;;;;; 5 029 857 ; 25 252 818 ; 14 825 ;11
V-02817;1118114;TSXV;ALX Resources Corp.;AL; 7 466 103 ; 248 870 100 ;Mining;;BC;Canada;QT;20100819;;;Y;;;;;;;;;;;;; 69 945 876 ; 1 662 271 ; 1 749 ;11
V-00093;708779;TSXV;Amarc Resources Ltd.;AHR; 39 743 886 ; 220 799 364 ;Mining;;BC;Canada;;;;OTCQB;;;;;;;;;;;;;; 14 154 448 ; 2 140 281 ; 1 757 ;11
V-04353;1179440;TSXV;Amaroq Minerals Ltd.;AMRQ; 574 085 797 ; 365 659 743 ;Mining;;ON;Canada;IPO;20170713;AIM;;;Y;;;;;;;;;;;; 10 215 471 ; 13 440 161 ; 3 029 ;11
V-04995;1187795;TSXV;Amaya Big Sky Capital Corp.;AMYA.P; 117 402 ; 5 870 100 ;CPC;;BC;Canada;IPO/CPC;20240130;;;Y;;;;;;;;;;;;; 345 714 ; 38 526 ; 90 ;5
V-04866;1186240;TSXV;Amego Capital Corp.;MEGO.P; 1 146 186 ; 5 591 152 ;CPC;;BC;Canada;IPO/CPC;20220408;;;Y;;;;;;;;;;;;; 133 476 ; 27 989 ; 26 ;11
V-02359;1108183;TSXV;American Creek Resources Ltd.;AMK; 119 217 033 ; 397 390 109 ;Mining;;AB;Canada;IPO;20060906;;;;;;;;;;;;;;;; 63 701 134 ; 14 467 500 ; 6 849 ;11
V-04726;1184745;TSXV;American Eagle Gold Corp.;AE; 123 393 651 ; 134 123 534 ;Mining;;ON;Canada;Other;20210503;;OTCQB;;;;;;;;;;;;;; 70 235 953 ; 40 496 971 ; 18 258 ;11
V-01262;32075;TSXV;American Lithium Corp.;LI; 209 217 121 ; 217 934 501 ;Mining;;BC;Canada;;;NasdaqCM;;;Y;;;;;;;;;;;; 45 894 793 ; 43 628 304 ; 44 024 ;11
V-04106;1130350;TSXV;Ameritrust Financial Technologies Inc.;AMT; 83 427 765 ; 667 422 123 ;Technology;;ON;Canada;QT from NEX;20180209;;OTCQB;Y;;;;;;;;;;; Internet Software & Services ;; 60 474 140 ; 3 669 104 ; 3 907 ;11
V-00103;1074354;TSXV;Amex Exploration Inc.;AMX; 140 259 006 ; 120 912 936 ;Mining;;QC;Canada;;;;OTCQX;;Y;;;;;;;;;;;; 24 832 930 ; 35 265 290 ; 28 382 ;11
V-04882;1185420;TSXV;AMG Acquisition Corp.;AMG.P; 195 003 ; 7 800 120 ;CPC;;BC;Canada;IPO/CPC;20220531;;;Y;;;;;;;;;;;;; 414 830 ; 14 958 ; 29 ;9
V-01433;1064945;TSXV;AnalytixInsight Inc.;ALY; 1 446 776 ; 96 451 741 ;Technology;;BC;Canada;;;;;;;;;;;;;;;; Software ;; 11 701 163 ; 562 781 ; 1 259 ;11
V-04572;1182951;TSXV;Andean Precious Metals Corp.;APM; 192 678 187 ; 149 362 936 ;Mining;;BC;Canada;QT;20210329;;OTCQX;Y;;;;;;;;;;;;; 45 907 821 ; 47 475 606 ; 34 976 ;11
V-04781;1173605;TSXV;Aneesh Capital Corp.;EESH.P; 250 000 ; 6 250 001 ;CPC;;BC;Canada;IPO/CPC;20210929;;;Y;;;;;;;;;;;;; 139 002 ; 7 270 ; 23 ;8
V-03758;1131425;TSXV;Anfield Energy Inc.;AEC; 113 712 185 ; 1 033 747 133 ;Mining;;AZ;USA;Other;20110411;;OTCQB;;;;Apache Junction;;;;;;;;;; 303 400 277 ; 27 582 539 ; 27 800 ;11
V-00938;1023492;TSXV;Angel Wing Metals Inc.;AWM; 3 698 893 ; 67 252 594 ;Mining;;ON;Canada;;;;;;;;;;;;;;;;;; 7 833 365 ; 760 181 ; 443 ;11
V-03680;1121555;TSXV;Angkor Resources Corp.;ANK; 17 523 586 ; 184 458 805 ;Mining;;AB;Canada;QT;20111019;;OTCQB;Y;;;;;;;;;;;;; 5 383 288 ; 613 982 ; 509 ;11
V-04365;1179375;TSXV;Angus Gold Inc.;GUS; 24 434 075 ; 60 331 050 ;Mining;;ON;Canada;QT;20191112;;OTCQB;Y;;;;;;;;;;;;; 10 186 452 ; 5 357 398 ; 3 119 ;11
V-04957;1187235;TSXV;Ankh II Capital Inc.;AUNK.P; 30 209 ; 6 041 801 ;CPC;;BC;Canada;IPO/CPC;20230512;;;Y;;;;;;;;;;;;;;;;
V-00932;1060143;TSXV;Anortech Inc.;ANOR; 3 632 851 ; 181 642 538 ;Mining;;BC;Canada;;;;;Y;;;;;;;;;;;;; 15 877 653 ; 440 702 ; 663 ;11
V-04405;1180385;TSXV;Anquiro Ventures Ltd.;AQR.P; 157 500 ; 4 500 001 ;CPC;;BC;Canada;IPO/CPC;20180223;;;Y;;;;;;;;;;;;;;;;
V-04768;1184985;TSXV;Antera Ventures II Corp.;AVII.P; 1 050 000 ; 15 000 000 ;CPC;;ON;Canada;IPO/CPC;20210804;;;Y;;;;;;;;;;;;; 204 101 ; 5 588 ; 24 ;8
V-04312;1177555;TSXV;Antler Gold Inc.;ANTL; 4 087 392 ; 90 830 935 ;Mining;;NS;Canada;QT;20161114;;;Y;;;;;;;;;;;;; 3 281 647 ; 162 270 ; 175 ;11
V-01888;38385;TSXV;Apex Resources Inc.;APX; 3 789 747 ; 63 162 445 ;Mining;;BC;Canada;;19890615;;;;;;;;;;;;;;;; 7 137 656 ; 506 715 ; 399 ;8
V-04585;1182980;TSXV;Apogee Minerals Ltd.;APMI; 1 091 500 ; 21 830 001 ;Mining;;BC;Canada;QT;20210804;;;Y;;;;;;;;;;;;; 2 903 207 ; 142 207 ; 126 ;9
V-00100;1045778;TSXV;Apollo Silver Corp.;APGO; 55 704 558 ; 242 193 729 ;Mining;;BC;Canada;;;;OTCQB;Y;;;;;;;;;;;;; 91 516 810 ; 18 189 445 ; 12 380 ;11
V-04711;1184765;TSXV;Apolo IV Acquisition Corp.;AIV.P; 100 000 ; 20 000 000 ;CPC;;ON;Canada;IPO/CPC;20210401;;;Y;;;;;;;;;;;;; 205 049 ; 4 756 ; 17 ;5
V-04804;1185455;TSXV;Applied Graphite Technologies Corporation;AGT; 3 177 082 ; 23 533 938 ;Mining;;BC;Canada;QT;20240312;;;Y;;;;;;;;;;;;; 1 574 693 ; 239 337 ; 327 ;9
V-00125;1080452;TSXV;Appulse Corporation;APL; 3 102 184 ; 14 772 304 ;Industrial Products & Services;;AB;Canada;QT;20030304;;;Y;;;;;;;;;;;;; 2 282 750 ; 754 770 ; 371 ;11
V-04134;1162870;TSXV;Aranjin Resources Ltd.;ARJN; 1 549 076 ; 11 064 831 ;Mining;;Mongolia;Asia;QT from NEX;20170425;;;Y;;;;Mongolia;;;;;;;;; 10 342 180 ; 75 011 ; 153 ;11
V-04067;1153745;TSXV;Arbor Metals Corp.;ABR; 24 776 582 ; 76 235 636 ;Mining;;BC;Canada;IPO;20121024;;;;;;;;;;;;;;;; 14 339 150 ; 9 424 870 ; 11 910 ;11
V-04237;1170010;TSXV;Arch Biopartners Inc.;ARCH; 126 473 786 ; 64 858 352 ;Life Sciences;;ON;Canada;Other;20150223;;OTCQB;;Y;;;;;;;; Pharmaceuticals ;;;; 4 628 458 ; 8 437 773 ; 9 809 ;11
